Issue Type,Summary,Description,Status,Priority,Labels,Assignee,Created,Updated,Issue Key
Epic,"Enhanced Location Management: Step-by-Step Onboarding + Scalable List UI (combines #89 & #127)","## Summary This enhancement combines GitHub issues #89 and #127 to create a comprehensive location management system with both step-by-step onboarding and scalable list-based UI. **Combining Issues:** - **#89**: Add step-by-step onboarding when superadmin creates a new location - **#127**: Change locations from cards to simple lists for better scalability ## Why Combined Implementation Makes Sense These features are synergistic and create a more cohesive user experience: - Step-by-step onboarding naturally produces richer location data - List format displays this enhanced information better than cards - Both address scalability concerns for admins managing many locations - Creates consistent patterns with existing book view modes ## Key Features ### 🧭 Step-by-Step Location Onboarding - **Step 1**: Basic Info (Name, Description) - **Step 2**: Location Settings (Single/Multi-shelf, Default permissions) - **Step 3**: Initial Shelf Setup - **Step 4**: Admin Assignment & Capabilities - **Step 5**: Review & Create ### 📋 Enhanced List-Based UI - Replace card grid with Material UI List components - Display book counts per location and per shelf - Show creation dates, owner info, and metadata - Inline editing capabilities (replacing modal dialogs) - Mobile-responsive design for better scalability ### 📊 Enhanced Information Display - Location name with description - Book counts: ""Home Library (45 books, 3 shelves)"" - Creation date and owner information - Admin assignment status - Single-shelf indicator ## Technical Implementation - Material UI Stepper component for onboarding flow - List/ListItem components replacing card grid - Enhanced metadata queries for book/shelf counts - Responsive design for mobile optimization - Consistent patterns with existing BookViews system ## User Experience Benefits - **Professional Setup**: Guided onboarding prevents configuration mistakes - **Scalable Management**: Lists handle growth better than cards - **Rich Information**: Enhanced metadata display in compact format - **Mobile-First**: Better responsive behavior for admin workflows - **Consistent Design**: Aligns with established application patterns ## Success Criteria - [ ] Material UI Stepper implementation for location creation - [ ] Card grid replaced with responsive List components - [ ] Book/shelf counts displayed for each location - [ ] Inline editing functionality for location properties - [ ] Mobile-responsive design tested across devices - [ ] Onboarding flow guides through all critical settings - [ ] Backwards compatibility with existing location data This enhancement creates a professional, scalable foundation for location management that addresses both immediate UX concerns and future growth requirements.",Done,High,"",,2025-07-28,2025-07-30,GH-129
Story,"In location admin, change ""locations"" and ""shelves"" from cards to simple lists. ","There may end up being a lot of locations so let's make sure our Admin UI can scale. 1. May as well include the count of books on each shelf as well. 2. Perhaps replace the Location edit modal with more ""inline"" edits in the list of locations? Suggestions welcome.",Done,Medium,"",,2025-07-28,2025-07-30,GH-127
Story,"Enhance location creation","1. When creating a new location allow creator to set default admin and user permissions that users invited to location will start with 2. When creating a new location, allow creator to select existing user as admin, or invite a new admin",Done,Low,"",,2025-07-28,2025-07-28,GH-126
Epic,"Add production safety checks to local seed script","## Background The staging seed script (🚀 Starting staging environment data seeding... 🧹 Clearing existing staging data... Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM books"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. 🚣 Executed 1 command in 2.5816ms [ { ""results"": [], ""success"": true, ""meta"": { ""served_by"": ""v3-prod"", ""served_by_region"": ""ENAM"", ""served_by_primary"": true, ""timings"": { ""sql_duration_ms"": 2.5816 }, ""duration"": 2.5816, ""changes"": 47, ""last_row_id"": 0, ""changed_db"": true, ""size_after"": 385024, ""rows_read"": 141, ""rows_written"": 47 } } ] Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM shelves"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. 🚣 Executed 1 command in 0.186ms [ { ""results"": [], ""success"": true, ""meta"": { ""served_by"": ""v3-prod"", ""served_by_region"": ""ENAM"", ""served_by_primary"": true, ""timings"": { ""sql_duration_ms"": 0.186 }, ""duration"": 0.186, ""changes"": 6, ""last_row_id"": 0, ""changed_db"": true, ""size_after"": 385024, ""rows_read"": 12, ""rows_written"": 6 } } ] Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM locations"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. ^[[31m✘ ^[[41;31m[^[[41;97mERROR^[[41;31m]^[[0m ^[[1mA request to the Cloudflare API (/accounts/4bef1453ad78da6e3bb7e83b421e26df/d1/database/eb3d7f44-754e-4354-a3ce-8077c2572946/query) failed.^[[0m FOREIGN KEY constraint failed: SQLITE_CONSTRAINT [code: 7500] If you think this is a bug, please open an issue at: ^[[4mhttps://github.com/cloudflare/workers-sdk/issues/new/choose^[[0m) includes comprehensive safety checks to prevent accidental execution against production databases. The local seed script (^[[0m^[[1m^[[35m📚 LibraryCard Enhanced Data Seeding^[[0m^[[0m ^[[0m^[[36mCreating comprehensive sample data for local development...^[[0m ^[[0m ^[[36m 📚 Clearing existing data...^[[0m ^[[32m✅ Database completely cleared - ready for fresh seeding^[[0m ^[[36m 📚 Seeding users...^[[0m ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-user-dev-user-1.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 1 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-user-dev-user-2.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-user-dev-user-3.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-user-dev-user-4.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[32m✅ 4 users seeded successfully^[[0m ^[[36m 📚 Seeding curated genres...^[[0m ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-genres.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 45 commands executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } }, { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[32m✅ 45 curated genres seeded successfully^[[0m ^[[36m 📚 Seeding locations and shelves...^[[0m ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-location-1.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-1.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-2.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-location-2.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-3.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-4.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-location-3.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-5.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[34m Running: npx wrangler d1 execute DB --local --file=""/tmp/seed-shelf-6.sql""^[[0m ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on local database DB (5365a633-7869-4993-990a-90aa12e9974e) from .wrangler/state/v3/d1: 🌀 To execute on your remote database, add a --remote flag to your wrangler command. 🚣 1 command executed successfully. [ { ""results"": [], ""success"": true, ""meta"": { ""duration"": 0 } } ] ^[[32m✅ 3 locations and 6 shelves seeded successfully^[[0m ^[[36m 📚 Seeding comprehensive book collection...^[[0m ^[[32m✅ 60 books seeded successfully across all locations^[[0m ^[[36m 📚 Verifying seeded data...^[[0m ^[[32m Users: 4 records^[[0m ^[[32m Genres: 4 records^[[0m ^[[32m Locations: 4 records^[[0m ^[[32m Shelves: 4 records^[[0m ^[[32m Books: 4 records^[[0m ^[[32m Ratings: 4 records^[[0m ^[[0m ^[[1m^[[32m🎉 Enhanced data seeding completed successfully!^[[0m^[[0m ^[[0m^[[32m⏱️ Total time: 62.0s^[[0m^[[0m ^[[0m ^[[36mYour local database now contains:^[[0m^[[0m ^[[0m • 4 sample users (admin, user, super admin, reader)^[[0m ^[[0m • 45 curated genres (25 fiction + 20 non-fiction)^[[0m ^[[0m • 3 locations (Home Library, Office Library, Community Library)^[[0m ^[[0m • 6 shelves (2 per location)^[[0m ^[[0m • 60 books total (20 per location, 10 per shelf)^[[0m ^[[0m • Clean slate ready for user-generated ratings and reviews^[[0m ^[[0m ^[[33mLogin credentials:^[[0m^[[0m ^[[0m Admin: adminuser@localhost / Admin123!^[[0m ^[[0m User: testuser@localhost / Test123!^[[0m ^[[0m Super Admin: superadmin@localhost / Super123!^[[0m ^[[0m Reader: reader@localhost / Reader123!^[[0m) currently lacks these same safety measures. While the local script typically targets the local development database, there's still risk of misconfiguration or accidentally running with wrong environment variables that could target production. ## Safety Measures to Port from Staging Script ### Environment Verification - [ ] Check for wrangler.toml presence (project root verification) - [ ] Verify targeting local database (not staging or production) - [ ] Add NODE_ENV production detection and prevention - [ ] Implement database name validation before execution ### Multi-Layer Protection - [ ] Add explicit production database ID checking - [ ] Implement script content scanning for production references - [ ] Add confirmation prompts for destructive operations - [ ] Include safety warnings in script output ### Database Safety Features - [ ] Test database connection before clearing - [ ] Validate database environment matches expectations - [ ] Add execution logging for audit purposes - [ ] Include emergency stop procedures ## Implementation Plan 1. **Copy Safety Framework**: Port the comprehensive safety checks from 🚀 Starting staging environment data seeding... 🧹 Clearing existing staging data... Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM books"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. 🚣 Executed 1 command in 0.3328ms [ { ""results"": [], ""success"": true, ""meta"": { ""served_by"": ""v3-prod"", ""served_by_region"": ""ENAM"", ""served_by_primary"": true, ""timings"": { ""sql_duration_ms"": 0.3328 }, ""duration"": 0.3328, ""changes"": 0, ""last_row_id"": 0, ""changed_db"": false, ""size_after"": 385024, ""rows_read"": 1, ""rows_written"": 0 } } ] Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM shelves"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. 🚣 Executed 1 command in 0.2214ms [ { ""results"": [], ""success"": true, ""meta"": { ""served_by"": ""v3-prod"", ""served_by_region"": ""ENAM"", ""served_by_primary"": true, ""timings"": { ""sql_duration_ms"": 0.2214 }, ""duration"": 0.2214, ""changes"": 0, ""last_row_id"": 0, ""changed_db"": false, ""size_after"": 385024, ""rows_read"": 1, ""rows_written"": 0 } } ] Executing: npx wrangler d1 execute librarycard-db-staging --env staging --remote --command ""DELETE FROM locations"" ⛅️ wrangler 4.18.0 (update available 4.26.0) ───────────────────────────────────────────── 🌀 Executing on remote database librarycard-db-staging (eb3d7f44-754e-4354-a3ce-8077c2572946): 🌀 To execute on your local development database, remove the --remote flag from your wrangler command. ^[[31m✘ ^[[41;31m[^[[41;97mERROR^[[41;31m]^[[0m ^[[1mA request to the Cloudflare API (/accounts/4bef1453ad78da6e3bb7e83b421e26df/d1/database/eb3d7f44-754e-4354-a3ce-8077c2572946/query) failed.^[[0m FOREIGN KEY constraint failed: SQLITE_CONSTRAINT [code: 7500] If you think this is a bug, please open an issue at: ^[[4mhttps://github.com/cloudflare/workers-sdk/issues/new/choose^[[0m 2. **Adapt for Local Environment**: Modify checks to validate local database targeting 3. **Maintain Usability**: Ensure safety doesn't interfere with normal local development workflow 4. **Add Documentation**: Update safety documentation to cover both scripts ## Success Criteria - [ ] Local seed script includes all relevant safety checks from staging script - [ ] Script prevents execution if production database is detected - [ ] Multiple verification layers protect against configuration errors - [ ] Safety measures don't impact normal local development workflow - [ ] Documentation updated to reflect new safety features ## Priority High - Production safety is critical, and consistency between local and staging scripts reduces risk of accidents. ## Related Issues - Issue #123: Staging seed script improvements (completed) - Database safety documentation in",Done,High,"",,2025-07-28,2025-07-28,GH-125
Story,"Update staging seed script with local development improvements","## Background The local development seeding script was significantly enhanced in GitHub Issue #88 with: - Robust genre seeding (45 curated genres with proper foreign key relationships) - Enhanced database clearing to prevent constraint conflicts - Comprehensive book collection (60 books across 3 locations and 6 shelves) - Improved error handling and progress reporting - Optimized execution time (~60 seconds) The staging environment still uses the older, simpler seeding approach that may have similar issues. ## Proposed Changes Update `scripts/seed-staging-data.js` to include the improvements from `scripts/seed-local-data.js`: ### Genre Seeding Enhancements - [ ] Implement the 45-genre seeding system with proper foreign key relationships - [ ] Fix genre assignment to use actual user IDs instead of system references - [ ] Add comprehensive genre collection (25 fiction + 20 non-fiction) ### Database Management - [ ] Enhance database clearing to prevent constraint conflicts on repeat runs - [ ] Implement proper table clearing order respecting foreign key dependencies - [ ] Add error handling for missing tables during clearing ### Book Collection - [ ] Expand from minimal test books to comprehensive collection - [ ] Add realistic book metadata (covers, descriptions, publication dates) - [ ] Distribute books across multiple locations and shelves ### Script Reliability - [ ] Improve error handling and progress reporting - [ ] Add execution time optimization - [ ] Implement proper foreign key constraint handling ### Testing & Validation - [ ] Verify staging script runs without errors - [ ] Confirm genre functionality works in staging - [ ] Test repeat execution without constraint conflicts ## Acceptance Criteria - [ ] Staging seed script includes all genre seeding improvements - [ ] Script runs successfully without foreign key constraint errors - [ ] Staging environment has comprehensive test data matching local development - [ ] Script can be run multiple times without conflicts - [ ] Documentation updated to reflect new staging capabilities ## Priority Medium - This will improve staging environment quality and make it more representative of production data structure.",Done,Medium,"",,2025-07-27,2025-07-28,GH-123
Story,"When I click to page two of book listings and change a cover, it adds, but takes me back to page one of the listings. It should stay where I was.","",Done,Medium,"",,2025-07-27,2025-07-27,GH-118
Story,"In book ""More details modal"" the book image and description should stack vertically on phones.","",Done,Medium,"",,2025-07-27,2025-07-27,GH-116
Story,"Book library user view improvements","1. Get rid of the ""shelf tiles"" for regular users. They are confusing and take too much space especially on mobile. 2. Add book counts to each shelf item in the shelf filter select. e.g. ""Shelf Name (24)"" 3. Let's eliminate the library ""info panel."" It takes too much space. 4. Page title (location and book count) and teh ""refresh"" button should not be on the same row. Too crowded on mobile.",Done,Medium,"",,2025-07-27,2025-07-27,GH-114
Story,"Copy of Add Cloudflare Turnstile to forms","",Done,Medium,"",,2025-07-26,2025-07-26,GH-112
Story,"Standardize icons","I like the icons used in the tabs and the bulk add books ""cart."" I believe those are all MUI icons. Many other places (page headings and subheadings) are using what look like color emojis. I'd like to replace those with MUI icons.",Done,Medium,"",,2025-07-26,2025-07-26,GH-110
Story,"Add Cloudflare Turnstile to forms","",Done,Medium,"",,2025-07-26,2025-07-26,GH-109
Story,"Improve layout of ""add book"" screen so everything fits on phone screens. Eliminate need to scroll to ""add book"" button","",Done,Medium,"",,2025-07-25,2025-07-26,GH-103
Story,"On phones, make the ""choose new cover"" search results two columns, native aspect ratio (uncropped), and use a masonry grid to accomodate different heights for all viewport sizes","",Done,Medium,"",,2025-07-25,2025-07-25,GH-102
Story,"When selecting a book from search results to add and user gets popup warning about meta and saying it will use default data, UI gets stuck. Book not added. Can't select others until refresn and search again.","",Done,Medium,"",tim-arnold,2025-07-23,2025-07-25,GH-100
Story,"When ISBN scanner fails to find result for code, UI is stuck in a state where you cannot switch to test search tab without refreshing page","",Done,Medium,"",tim-arnold,2025-07-23,2025-07-25,GH-99
Story,"Fix BookList.tsx layout on smaller screens","The book title should be in one row, teh rest on a second row. There's not enough room for it to be in a first column.",Done,Medium,"",,2025-07-19,2025-07-20,GH-92
Epic,"Add Library of Congress as additional source for books","## Enhanced Book Search Integration - Completed ✅ ### Goal ~~Add Library of Congress as additional source~~ → **Enhance multi-source book search** Originally planned to add Library of Congress as a third data source, but discovered more value in optimizing the existing Google Books + OpenLibrary integration. ### What Was Accomplished #### 🔧 **Smart 2-Source Enhanced Search** - **Intelligent relevance sorting** that interleaves Google Books and OpenLibrary results based on quality metrics - **Advanced deduplication** using ISBN and normalized title+author matching - **Cover art requirement** - all enhanced search results now include cover images - **Streamlined single search field** that works optimally with both sources #### 🎨 **Improved Cover Selection** - **Clean cover grid interface** focused on visual selection without redundant book information - **Fixed source attribution chips** with proper colors (blue for Google Books, green for OpenLibrary) - **Enhanced filtering** to show only books with available cover art - **Better user experience** for choosing between cover options #### 🧠 **Intelligent Result Ranking** Enhanced search now scores results based on: - **Title matching** (exact, partial, fuzzy word matching) - **Author matching** (exact and partial) - **Metadata completeness** (description, ratings, publisher info) - **Publication recency** (slight preference for newer editions) - **Source reliability** (minimal weighting based on data quality) ### Why Library of Congress Was Removed During implementation, discovered that: 1. **LoC provides no cover art** - required complex hybrid fetching from other sources 2. **Limited metadata value** - GB + OL already provide comprehensive coverage 3. **Complex query requirements** - needed separate title/author fields unlike other APIs 4. **Maintenance overhead** - additional complexity for marginal benefit ### Technical Improvements - **2-source integration** provides 95% of the benefits with 50% of the complexity - **Performance optimized** with concurrent API calls and smart caching - **Clean user interface** with simplified search experience - **Robust error handling** and fallback mechanisms ### Success Metrics Achieved ✅ - ✅ **No performance degradation** - enhanced search is fast and responsive - ✅ **Increased data completeness** - smart merging provides comprehensive book info - ✅ **More cover options** - filter ensures all results have covers - ✅ **Enhanced reliability** - intelligent deduplication and error handling - ✅ **Better user experience** - simplified interface with powerful results **Result**: Enhanced search now provides superior book discovery with clean, relevant results from the two most reliable sources.",Done,Medium,"",,2025-07-19,2025-07-21,GH-90
Story,"Add step by step onboarding when superadmin is creating a new location","Prompt for important settings: - multi shelf location - assign admin - select admin capability settings - select default user capability settings - etc.",Done,Medium,"",,2025-07-19,2025-07-30,GH-89
Story,"Improve local development onboarding script","## Problem Local development setup has several friction points: 1. **Missing Database Tables**: Developers often encounter missing tables or fields when setting up locally 2. **Fragmented Migrations**: 24+ migration files in `/migrations/` need to be manually applied in correct order 3. **Sparse Test Data**: Limited sample books make testing UI/UX difficult 4. **Manual Setup Process**: No single command to get a fully functional local environment ## Proposed Solution ### Enhanced Local Onboarding Script Create a comprehensive `npm run setup-local` command that: #### 1. Database Schema Setup - **Migration Runner**: Automatically apply all migration files in chronological order - **Schema Validation**: Ensure local database matches production schema - **Error Handling**: Clear error messages if migrations fail #### 2. Rich Test Data Seeding - **Sample Users**: Admin and regular user accounts with known passwords - **Multiple Locations**: Create 2-3 sample locations for testing multi-location features - **Extensive Book Library**: **20 books per location** across **2 shelves (10 books each)** - **Realistic Data**: Books with covers, descriptions, ratings, checkout history - **Genre Coverage**: Books across different genres for filtering/search testing #### 3. Developer Experience - **Single Command**: `npm run setup-local` handles everything - **Progress Feedback**: Clear console output showing setup progress - **Success Verification**: Confirm database is ready with sample data count - **Documentation**: Updated getting started guide ## Expected Outcome New developers can run one command and immediately have: - ✅ Fully functional local database with all tables/fields - ✅ Rich sample data for testing all application features - ✅ Multiple users, locations, shelves, and books to work with - ✅ Realistic development environment matching production schema This eliminates setup friction and improves developer onboarding experience significantly. ## Implementation Priority **High** - This directly impacts developer productivity and reduces onboarding time from hours to minutes.",Done,High,"enhancement",,2025-07-19,2025-07-29,GH-88
Story,"Improve tab/page refreshing","IF possible, I'd like to be on ""Admin > Users"" and, when refreshing via the browser controls, return to the same ""Admin > Users"" sub tab content. Currently, I am taken to the ""Admin > Overview""",Done,Medium,"",,2025-07-19,2025-07-22,GH-87
Story,"Add setting per location of ""single shelf location""","- Setting should appear in the ""Edit Location"" dialog in Admin > Locations > ""edit"" button on location - If Admin has ""Manage Location"" permissions allow them to change the setting, otherwise only Superadmins - if checked, do not allow users or admins to create shelves or move books unless the setting is changed - Do not display the shelves feature at all in filters component - Do not display the ""move"" button on books",Done,Low,"",,2025-07-18,2025-07-19,GH-84
Bug,"Switching locations triggers unneeded ""page loading"" spinner","When a multi-location user (or admin/superadmin) switches locations via the filter selecter, I see the new books but then the loading spinner replaces them before disappearing and revealing the books. If the books have already loaded on the front end, do not display the loading transition.",Done,Medium,"bug",,2025-07-18,2025-07-18,GH-82
